Match Number,Round Number,Date,Location,Home Team,Away Team,Result
293,4,16/08/2020 00:10,Coors Field,Colorado Rockies,Texas Rangers,4 - 6
294,4,16/08/2020 01:40,Angel Stadium,Los Angeles Angels,Los Angeles Dodgers,5 - 6
295,4,16/08/2020 17:05,Oriole Park at Camden Yards,Baltimore Orioles,Washington Nationals,5 - 6
296,4,16/08/2020 17:05,Citizens Bank Park,Philadelphia Phillies,New York Mets,6 - 2
297,4,16/08/2020 17:07,Sahlen Field,Toronto Blue Jays,Tampa Bay Rays,2 - 3
298,4,16/08/2020 17:10,Comerica Park,Detroit Tigers,Cleveland Indians,5 - 8
299,4,16/08/2020 17:10,Marlins Park,Miami Marlins,Atlanta Braves,0 - 4
300,4,16/08/2020 18:07,Sahlen Field,Toronto Blue Jays,Tampa Bay Rays,5 - 7
301,4,16/08/2020 18:10,Minute Maid Park,Houston Astros,Seattle Mariners,3 - 2
302,4,16/08/2020 18:10,Target Field,Minnesota Twins,Kansas City Royals,4 - 2
303,4,16/08/2020 18:10,Guaranteed Rate Field,Chicago White Sox,St. Louis Cardinals,7 - 2
304,4,16/08/2020 18:20,Wrigley Field,Chicago Cubs,Milwaukee Brewers,5 - 6
305,4,16/08/2020 19:10,Coors Field,Colorado Rockies,Texas Rangers,10 - 6
306,4,16/08/2020 20:05,Oracle Park,San Francisco Giants,Oakland Athletics,3 - 15
307,4,16/08/2020 20:10,Angel Stadium,Los Angeles Angels,Los Angeles Dodgers,3 - 8
308,4,16/08/2020 20:10,Chase Field,Arizona Diamondbacks,San Diego Padres,5 - 4
309,4,16/08/2020 23:08,Yankee Stadium,New York Yankees,Boston Red Sox,4 - 2
310,4,17/08/2020 07:33,Wrigley Field,St. Louis Cardinals,Chicago Cubs,4 - 5
311,4,17/08/2020 21:15,Wrigley Field,Chicago Cubs,St. Louis Cardinals,1 - 3
312,4,17/08/2020 23:05,Yankee Stadium,New York Yankees,Boston Red Sox,6 - 3
313,4,17/08/2020 23:10,Truist Park,Atlanta Braves,Washington Nationals,7 - 6
314,4,17/08/2020 23:10,Marlins Park,Miami Marlins,New York Mets,4 - 11
315,4,17/08/2020 23:35,Oriole Park at Camden Yards,Baltimore Orioles,Toronto Blue Jays,2 - 7
316,4,18/08/2020 00:10,Target Field,Minnesota Twins,Kansas City Royals,4 - 1
317,4,18/08/2020 00:10,Guaranteed Rate Field,Chicago White Sox,Detroit Tigers,7 - 2
318,4,18/08/2020 01:05,Globe Life Field,Texas Rangers,San Diego Padres,4 - 14
319,4,18/08/2020 01:10,Minute Maid Park,Houston Astros,Colorado Rockies,2 - 1
320,4,18/08/2020 01:40,Chase Field,Arizona Diamondbacks,Oakland Athletics,4 - 3
321,4,18/08/2020 01:40,Dodger Stadium,Los Angeles Dodgers,Seattle Mariners,11 - 9
322,4,18/08/2020 01:40,Angel Stadium,Los Angeles Angels,San Francisco Giants,7 - 6
323,4,18/08/2020 19:10,Minute Maid Park,Houston Astros,Colorado Rockies,2 - 1
324,4,18/08/2020 20:05,Globe Life Field,Texas Rangers,San Diego Padres,4 - 6
325,4,18/08/2020 20:10,Angel Stadium,Los Angeles Angels,San Francisco Giants,2 - 8
326,4,18/08/2020 22:10,Chase Field,Arizona Diamondbacks,Oakland Athletics,10 - 1
327,4,18/08/2020 23:05,PNC Park,Pittsburgh Pirates,Cleveland Indians,3 - 6
328,4,18/08/2020 23:05,Yankee Stadium,New York Yankees,Tampa Bay Rays,3 - 6
329,4,18/08/2020 23:10,Dodger Stadium,Los Angeles Dodgers,Seattle Mariners,2 - 1
330,4,18/08/2020 23:10,Truist Park,Atlanta Braves,Washington Nationals,5 - 8
331,4,18/08/2020 23:10,Marlins Park,Miami Marlins,New York Mets,3 - 8
332,4,18/08/2020 23:30,Fenway Park,Boston Red Sox,Philadelphia Phillies,6 - 13
333,4,18/08/2020 23:35,Oriole Park at Camden Yards,Baltimore Orioles,Toronto Blue Jays,7 - 8
334,4,19/08/2020 00:10,Guaranteed Rate Field,Chicago White Sox,Detroit Tigers,10 - 4
335,4,19/08/2020 00:10,Target Field,Minnesota Twins,Milwaukee Brewers,4 - 3
336,4,19/08/2020 00:15,Wrigley Field,Chicago Cubs,St. Louis Cardinals,6 - 3
337,4,19/08/2020 03:33,Kauffman Stadium,Kansas City Royals,Cincinnati Reds,0 - 5
338,4,19/08/2020 07:33,Wrigley Field,St. Louis Cardinals,Chicago Cubs,2 - 4
339,4,19/08/2020 17:05,Oriole Park at Camden Yards,Baltimore Orioles,Toronto Blue Jays,2 - 5
340,4,19/08/2020 17:35,Fenway Park,Boston Red Sox,Philadelphia Phillies,6 - 3
341,4,19/08/2020 18:20,Wrigley Field,Chicago Cubs,St. Louis Cardinals,3 - 9
342,4,19/08/2020 21:05,Kauffman Stadium,Kansas City Royals,Cincinnati Reds,4 - 0
343,4,19/08/2020 23:05,PNC Park,Pittsburgh Pirates,Cleveland Indians,1 - 6
344,4,19/08/2020 23:05,Yankee Stadium,New York Yankees,Tampa Bay Rays,2 - 4
345,4,19/08/2020 23:10,Marlins Park,Miami Marlins,New York Mets,3 - 5
346,4,20/08/2020 00:10,Guaranteed Rate Field,Chicago White Sox,Detroit Tigers,5 - 3
347,4,20/08/2020 00:10,Target Field,Minnesota Twins,Milwaukee Brewers,3 - 9
348,4,20/08/2020 00:40,Coors Field,Colorado Rockies,Houston Astros,6 - 13
349,4,20/08/2020 01:10,Petco Park,San Diego Padres,Texas Rangers,6 - 3
350,4,20/08/2020 01:40,Oakland Coliseum,Oakland Athletics,Arizona Diamondbacks,4 - 1
351,4,20/08/2020 01:40,T-Mobile Park,Seattle Mariners,Los Angeles Dodgers,6 - 4
352,4,20/08/2020 01:45,Oracle Park,San Francisco Giants,Los Angeles Angels,7 - 2
353,4,20/08/2020 03:33,Sahlen Field,Toronto Blue Jays,Philadelphia Phillies,9 - 8
354,5,20/08/2020 17:05,Yankee Stadium,New York Yankees,Tampa Bay Rays,5 - 10
355,5,20/08/2020 17:07,Sahlen Field,Toronto Blue Jays,Philadelphia Phillies,3 - 2
356,5,20/08/2020 18:10,Guaranteed Rate Field,Chicago White Sox,Detroit Tigers,9 - 0
357,5,20/08/2020 19:10,Coors Field,Colorado Rockies,Houston Astros,8 - 10
358,5,20/08/2020 23:05,PNC Park,Pittsburgh Pirates,Cleveland Indians,0 - 2
359,5,20/08/2020 23:10,T-Mobile Park,Seattle Mariners,Los Angeles Dodgers,1 - 6
360,5,20/08/2020 23:10,Target Field,Minnesota Twins,Milwaukee Brewers,7 - 1
361,5,20/08/2020 23:35,Oriole Park at Camden Yards,Baltimore Orioles,Boston Red Sox,1 - 7
362,5,21/08/2020 00:10,Petco Park,San Diego Padres,Texas Rangers,8 - 7
363,5,21/08/2020 00:15,Busch Stadium,St. Louis Cardinals,Cincinnati Reds,5 - 4
364,5,21/08/2020 01:40,Oakland Coliseum,Oakland Athletics,Arizona Diamondbacks,5 - 1
365,5,21/08/2020 01:45,Oracle Park,San Francisco Giants,Los Angeles Angels,10 - 5
366,5,21/08/2020 22:05,Nationals Park,Washington Nationals,Miami Marlins,2 - 3
367,5,21/08/2020 22:40,Tropicana Field,Tampa Bay Rays,Toronto Blue Jays,5 - 6
368,5,21/08/2020 23:05,PNC Park,Pittsburgh Pirates,Milwaukee Brewers,7 - 2
369,5,21/08/2020 23:10,Progressive Field,Cleveland Indians,Detroit Tigers,5 - 10
370,5,21/08/2020 23:10,Truist Park,Atlanta Braves,Philadelphia Phillies,11 - 2
371,5,21/08/2020 23:35,Oriole Park at Camden Yards,Baltimore Orioles,Boston Red Sox,5 - 8
372,5,22/08/2020 00:05,Kauffman Stadium,Kansas City Royals,Minnesota Twins,7 - 2
373,5,22/08/2020 00:15,Busch Stadium,St. Louis Cardinals,Cincinnati Reds,2 - 4
374,5,22/08/2020 00:15,Wrigley Field,Chicago Cubs,Chicago White Sox,1 - 10
375,5,22/08/2020 01:10,Petco Park,San Diego Padres,Houston Astros,4 - 3
376,5,22/08/2020 01:10,T-Mobile Park,Seattle Mariners,Texas Rangers,7 - 4
377,5,22/08/2020 01:40,Dodger Stadium,Los Angeles Dodgers,Colorado Rockies,5 - 1
378,5,22/08/2020 01:40,Oakland Coliseum,Oakland Athletics,Los Angeles Angels,5 - 3
379,5,22/08/2020 01:45,Oracle Park,San Francisco Giants,Arizona Diamondbacks,6 - 2
380,5,22/08/2020 07:33,Nationals Park,Miami Marlins,Washington Nationals,5 - 3
381,5,22/08/2020 20:05,Nationals Park,Washington Nationals,Miami Marlins,5 - 4
382,5,22/08/2020 20:05,PNC Park,Pittsburgh Pirates,Milwaukee Brewers,12 - 5
383,5,22/08/2020 20:10,Oakland Coliseum,Oakland Athletics,Los Angeles Angels,3 - 4
384,5,22/08/2020 22:40,Tropicana Field,Tampa Bay Rays,Toronto Blue Jays,2 - 1
385,5,22/08/2020 23:05,Kauffman Stadium,Kansas City Royals,Minnesota Twins,2 - 7
386,5,22/08/2020 23:10,Progressive Field,Cleveland Indians,Detroit Tigers,6 - 1
387,5,22/08/2020 23:10,Truist Park,Atlanta Braves,Philadelphia Phillies,6 - 5
388,5,22/08/2020 23:35,Oriole Park at Camden Yards,Baltimore Orioles,Boston Red Sox,5 - 4
389,5,23/08/2020 00:15,Busch Stadium,St. Louis Cardinals,Cincinnati Reds,3 - 0
390,5,23/08/2020 00:15,Wrigley Field,Chicago Cubs,Chicago White Sox,4 - 7
391,5,23/08/2020 01:10,Dodger Stadium,Los Angeles Dodgers,Colorado Rockies,4 - 3
392,5,23/08/2020 01:10,Petco Park,San Diego Padres,Houston Astros,13 - 2
393,5,23/08/2020 01:10,T-Mobile Park,Seattle Mariners,Texas Rangers,10 - 1
394,5,23/08/2020 01:15,Oracle Park,San Francisco Giants,Arizona Diamondbacks,5 - 1
395,5,23/08/2020 16:35,Nationals Park,Washington Nationals,Miami Marlins,9 - 3
396,5,23/08/2020 17:05,Oriole Park at Camden Yards,Baltimore Orioles,Boston Red Sox,5 - 4
397,5,23/08/2020 17:10,Progressive Field,Cleveland Indians,Detroit Tigers,4 - 7
398,5,23/08/2020 17:10,Tropicana Field,Tampa Bay Rays,Toronto Blue Jays,5 - 4
399,5,23/08/2020 17:35,PNC Park,Pittsburgh Pirates,Milwaukee Brewers,5 - 4
400,5,23/08/2020 18:05,Kauffman Stadium,Kansas City Royals,Minnesota Twins,4 - 5
401,5,23/08/2020 18:15,Busch Stadium,St. Louis Cardinals,Cincinnati Reds,6 - 2
402,5,23/08/2020 18:20,Wrigley Field,Chicago Cubs,Chicago White Sox,2 - 1
403,5,23/08/2020 20:10,Dodger Stadium,Los Angeles Dodgers,Colorado Rockies,11 - 3
404,5,23/08/2020 20:10,Oakland Coliseum,Oakland Athletics,Los Angeles Angels,5 - 4
405,5,23/08/2020 20:10,Petco Park,San Diego Padres,Houston Astros,5 - 3
406,5,23/08/2020 20:10,Oracle Park,San Francisco Giants,Arizona Diamondbacks,6 - 1
407,5,23/08/2020 20:10,T-Mobile Park,Seattle Mariners,Texas Rangers,4 - 1
408,5,23/08/2020 23:08,Truist Park,Atlanta Braves,Philadelphia Phillies,4 - 5
409,5,24/08/2020 19:10,Tropicana Field,Tampa Bay Rays,Toronto Blue Jays,4 - 6
410,5,24/08/2020 22:05,Nationals Park,Washington Nationals,Miami Marlins,8 - 11
411,5,24/08/2020 23:10,Comerica Park,Detroit Tigers,Chicago Cubs,3 - 9
412,5,24/08/2020 23:10,Progressive Field,Cleveland Indians,Minnesota Twins,2 - 3
413,5,25/08/2020 00:05,Globe Life Field,Texas Rangers,Oakland Athletics,3 - 2
414,5,25/08/2020 00:10,Miller Park,Milwaukee Brewers,Cincinnati Reds,4 - 2
415,5,25/08/2020 00:15,Busch Stadium,St. Louis Cardinals,Kansas City Royals,9 - 3
416,5,25/08/2020 01:10,Minute Maid Park,Houston Astros,Los Angeles Angels,11 - 4
417,5,25/08/2020 01:40,Chase Field,Arizona Diamondbacks,Colorado Rockies,2 - 3
418,5,25/08/2020 03:33,Minute Maid Park,Houston Astros,Los Angeles Angels,5 - 12
419,5,25/08/2020 07:33,Citi Field,Miami Marlins,New York Mets,3 - 0
420,5,25/08/2020 20:05,Minute Maid Park,Houston Astros,Los Angeles Angels,6 - 3
421,5,25/08/2020 21:10,Citi Field,New York Mets,Miami Marlins,0 - 4
422,5,25/08/2020 22:05,Nationals Park,Washington Nationals,Philadelphia Phillies,3 - 8
423,5,25/08/2020 22:37,Sahlen Field,Toronto Blue Jays,Boston Red Sox,7 - 9
424,5,25/08/2020 22:40,Tropicana Field,Tampa Bay Rays,Baltimore Orioles,4 - 2
425,5,25/08/2020 23:10,Comerica Park,Detroit Tigers,Chicago Cubs,7 - 1
426,5,25/08/2020 23:10,Progressive Field,Cleveland Indians,Minnesota Twins,4 - 2
427,5,26/08/2020 00:05,Globe Life Field,Texas Rangers,Oakland Athletics,3 - 10
428,5,26/08/2020 00:10,Guaranteed Rate Field,Chicago White Sox,Pittsburgh Pirates,4 - 0
429,5,26/08/2020 00:10,Miller Park,Milwaukee Brewers,Cincinnati Reds,3 - 2
430,5,26/08/2020 00:15,Busch Stadium,St. Louis Cardinals,Kansas City Royals,4 - 5
431,5,26/08/2020 01:10,Petco Park,San Diego Padres,Seattle Mariners,3 - 8
432,5,26/08/2020 01:40,Chase Field,Arizona Diamondbacks,Colorado Rockies,4 - 5
433,5,26/08/2020 01:45,Oracle Park,San Francisco Giants,Los Angeles Dodgers,10 - 8
434,5,26/08/2020 03:33,Truist Park,Atlanta Braves,New York Yankees,2 - 1
435,5,26/08/2020 18:10,Guaranteed Rate Field,Chicago White Sox,Pittsburgh Pirates,10 - 3
436,5,26/08/2020 20:10,Truist Park,Atlanta Braves,New York Yankees,5 - 1
437,5,26/08/2020 22:05,Nationals Park,Washington Nationals,Philadelphia Phillies,2 - 3
438,5,26/08/2020 22:37,Sahlen Field,Toronto Blue Jays,Boston Red Sox,9 - 1
439,5,26/08/2020 22:40,Tropicana Field,Tampa Bay Rays,Baltimore Orioles,4 - 3
440,5,26/08/2020 23:10,Comerica Park,Detroit Tigers,Chicago Cubs,7 - 6
441,5,26/08/2020 23:10,Progressive Field,Cleveland Indians,Minnesota Twins,6 - 3
442,5,26/08/2020 23:10,Citi Field,New York Mets,Miami Marlins,5 - 4
443,5,27/08/2020 00:05,Globe Life Field,Texas Rangers,Oakland Athletics,1 - 3
444,5,27/08/2020 00:15,Busch Stadium,St. Louis Cardinals,Kansas City Royals,6 - 5
445,5,27/08/2020 01:40,Chase Field,Arizona Diamondbacks,Colorado Rockies,7 - 8
446,5,27/08/2020 03:33,Busch Stadium,St. Louis Cardinals,Pittsburgh Pirates,0 - 2
447,5,27/08/2020 03:33,Miller Park,Milwaukee Brewers,Cincinnati Reds,0 - 6
448,5,27/08/2020 07:33,Petco Park,San Diego Padres,Seattle Mariners,3 - 8
449,5,27/08/2020 07:33,Oracle Park,San Francisco Giants,Los Angeles Dodgers,0 - 2
450,6,27/08/2020 19:10,Petco Park,San Diego Padres,Seattle Mariners,10 - 7
451,6,27/08/2020 19:15,Busch Stadium,St. Louis Cardinals,Pittsburgh Pirates,3 - 4
452,6,27/08/2020 20:05,Oracle Park,San Francisco Giants,Los Angeles Dodgers,0 - 7
453,6,27/08/2020 21:10,Miller Park,Milwaukee Brewers,Cincinnati Reds,1 - 6
454,6,28/08/2020 07:33,Yankee Stadium,New York Mets,New York Yankees,4 - 3
455,6,28/08/2020 20:05,Yankee Stadium,New York Yankees,New York Mets,4 - 6
456,6,28/08/2020 22:37,Sahlen Field,Toronto Blue Jays,Baltimore Orioles,5 - 4
457,6,28/08/2020 23:05,Citizens Bank Park,Philadelphia Phillies,Atlanta Braves,7 - 4
458,6,28/08/2020 23:10,Great American Ball Park,Cincinnati Reds,Chicago Cubs,6 - 5
459,6,28/08/2020 23:10,Guaranteed Rate Field,Chicago White Sox,Kansas City Royals,6 - 5
460,6,28/08/2020 23:10,Marlins Park,Miami Marlins,Tampa Bay Rays,0 - 2
461,6,28/08/2020 23:30,Fenway Park,Boston Red Sox,Washington Nationals,2 - 10
462,6,29/08/2020 00:05,Globe Life Field,Texas Rangers,Los Angeles Dodgers,6 - 2
463,6,29/08/2020 00:10,Miller Park,Milwaukee Brewers,Pittsburgh Pirates,9 - 1
464,6,29/08/2020 00:15,Busch Stadium,St. Louis Cardinals,Cleveland Indians,2 - 14
465,6,29/08/2020 00:40,Coors Field,Colorado Rockies,San Diego Padres,4 - 10
466,6,29/08/2020 01:40,Angel Stadium,Los Angeles Angels,Seattle Mariners,3 - 2
467,6,29/08/2020 01:40,Chase Field,Arizona Diamondbacks,San Francisco Giants,7 - 4
468,6,29/08/2020 03:33,Comerica Park,Detroit Tigers,Minnesota Twins,4 - 2
469,6,29/08/2020 03:33,Great American Ball Park,Cincinnati Reds,Chicago Cubs,6 - 5
470,6,29/08/2020 07:33,Minute Maid Park,Houston Astros,Oakland Athletics,6 - 3
471,6,29/08/2020 17:05,Yankee Stadium,New York Yankees,New York Mets,2 - 1
472,6,29/08/2020 17:10,Comerica Park,Detroit Tigers,Minnesota Twins,8 - 2
473,6,29/08/2020 17:15,Busch Stadium,St. Louis Cardinals,Cleveland Indians,1 - 2
474,6,29/08/2020 17:15,Citizens Bank Park,Philadelphia Phillies,Atlanta Braves,4 - 1
475,6,29/08/2020 18:10,Guaranteed Rate Field,Chicago White Sox,Kansas City Royals,6 - 9
476,6,29/08/2020 20:10,Great American Ball Park,Cincinnati Reds,Chicago Cubs,0 - 3
477,6,29/08/2020 20:10,Minute Maid Park,Houston Astros,Oakland Athletics,4 - 2
478,6,29/08/2020 22:10,Marlins Park,Miami Marlins,Tampa Bay Rays,0 - 4
479,6,29/08/2020 22:37,Sahlen Field,Toronto Blue Jays,Baltimore Orioles,5 - 0
480,6,29/08/2020 23:05,Globe Life Field,Texas Rangers,Los Angeles Dodgers,4 - 7
481,6,29/08/2020 23:10,Miller Park,Milwaukee Brewers,Pittsburgh Pirates,7 - 6
482,6,29/08/2020 23:30,Fenway Park,Boston Red Sox,Washington Nationals,5 - 3
483,6,30/08/2020 00:10,Coors Field,Colorado Rockies,San Diego Padres,4 - 3
484,6,30/08/2020 00:10,Chase Field,Arizona Diamondbacks,San Francisco Giants,2 - 5
485,6,30/08/2020 01:40,Angel Stadium,Los Angeles Angels,Seattle Mariners,16 - 3
486,6,30/08/2020 07:33,Yankee Stadium,New York Mets,New York Yankees,2 - 5
487,6,30/08/2020 17:05,Yankee Stadium,New York Yankees,New York Mets,8 - 7
488,6,30/08/2020 17:10,Great American Ball Park,Cincinnati Reds,Chicago Cubs,1 - 10
489,6,30/08/2020 17:10,Comerica Park,Detroit Tigers,Minnesota Twins,3 - 2
490,6,30/08/2020 17:10,Marlins Park,Miami Marlins,Tampa Bay Rays,7 - 12
491,6,30/08/2020 17:35,Fenway Park,Boston Red Sox,Washington Nationals,9 - 5
492,6,30/08/2020 18:10,Guaranteed Rate Field,Chicago White Sox,Kansas City Royals,5 - 2
493,6,30/08/2020 18:10,Miller Park,Milwaukee Brewers,Pittsburgh Pirates,1 - 5
494,6,30/08/2020 18:15,Busch Stadium,St. Louis Cardinals,Cleveland Indians,7 - 2
495,6,30/08/2020 18:35,Globe Life Field,Texas Rangers,Los Angeles Dodgers,2 - 7
496,6,30/08/2020 19:07,Sahlen Field,Toronto Blue Jays,Baltimore Orioles,6 - 5
497,6,30/08/2020 19:10,Coors Field,Colorado Rockies,San Diego Padres,2 - 13
498,6,30/08/2020 20:10,Angel Stadium,Los Angeles Angels,Seattle Mariners,1 - 2
499,6,30/08/2020 20:10,Chase Field,Arizona Diamondbacks,San Francisco Giants,1 - 4
500,6,30/08/2020 23:08,Citizens Bank Park,Philadelphia Phillies,Atlanta Braves,10 - 12
501,6,31/08/2020 17:10,Citi Field,New York Mets,Miami Marlins,3 - 5
502,6,31/08/2020 18:07,Sahlen Field,Toronto Blue Jays,Baltimore Orioles,3 - 4
503,6,31/08/2020 20:10,Angel Stadium,Los Angeles Angels,Seattle Mariners,1 - 2
504,6,31/08/2020 22:40,Great American Ball Park,Cincinnati Reds,St. Louis Cardinals,5 - 7
505,6,31/08/2020 23:05,Citizens Bank Park,Philadelphia Phillies,Washington Nationals,8 - 6
506,6,31/08/2020 23:05,Yankee Stadium,New York Yankees,Tampa Bay Rays,3 - 5
507,6,31/08/2020 23:30,Fenway Park,Boston Red Sox,Atlanta Braves,3 - 6
508,6,31/08/2020 23:40,Miller Park,Milwaukee Brewers,Pittsburgh Pirates,6 - 5
509,6,01/09/2020 00:05,Kauffman Stadium,Kansas City Royals,Cleveland Indians,2 - 1
510,6,01/09/2020 00:10,Target Field,Minnesota Twins,Chicago White Sox,5 - 8
511,6,01/09/2020 01:40,Coors Field,Colorado Rockies,San Diego Padres,0 - 6
512,6,01/09/2020 22:40,Great American Ball Park,Cincinnati Reds,St. Louis Cardinals,2 - 16
513,6,01/09/2020 22:40,Marlins Park,Miami Marlins,Toronto Blue Jays,3 - 2
514,6,01/09/2020 23:05,PNC Park,Pittsburgh Pirates,Chicago Cubs,7 - 8
515,6,01/09/2020 23:05,Citizens Bank Park,Philadelphia Phillies,Washington Nationals,6 - 0
516,6,01/09/2020 23:05,Yankee Stadium,New York Yankees,Tampa Bay Rays,5 - 3
517,6,01/09/2020 23:30,Fenway Park,Boston Red Sox,Atlanta Braves,3 - 10
518,6,01/09/2020 23:35,Oriole Park at Camden Yards,Baltimore Orioles,New York Mets,9 - 5
519,6,01/09/2020 23:40,Miller Park,Milwaukee Brewers,Detroit Tigers,1 - 12
520,6,02/09/2020 00:05,Kauffman Stadium,Kansas City Royals,Cleveland Indians,1 - 10
521,6,02/09/2020 00:10,Minute Maid Park,Houston Astros,Texas Rangers,5 - 6
522,6,02/09/2020 00:10,Target Field,Minnesota Twins,Chicago White Sox,3 - 2
523,6,02/09/2020 00:40,Coors Field,Colorado Rockies,San Francisco Giants,5 - 23
524,6,02/09/2020 01:40,Dodger Stadium,Los Angeles Dodgers,Arizona Diamondbacks,6 - 3
525,6,02/09/2020 19:10,Coors Field,Colorado Rockies,San Francisco Giants,9 - 6
526,6,02/09/2020 20:05,Oriole Park at Camden Yards,Baltimore Orioles,New York Mets,4 - 9
527,6,02/09/2020 22:40,Great American Ball Park,Cincinnati Reds,St. Louis Cardinals,4 - 3
528,6,02/09/2020 22:40,Marlins Park,Miami Marlins,Toronto Blue Jays,1 - 2
529,6,02/09/2020 23:05,PNC Park,Pittsburgh Pirates,Chicago Cubs,2 - 8
530,6,02/09/2020 23:05,Citizens Bank Park,Philadelphia Phillies,Washington Nationals,3 - 0
531,6,02/09/2020 23:05,Yankee Stadium,New York Yankees,Tampa Bay Rays,2 - 5
532,6,02/09/2020 23:30,Fenway Park,Boston Red Sox,Atlanta Braves,5 - 7
533,6,02/09/2020 23:40,Miller Park,Milwaukee Brewers,Detroit Tigers,8 - 5
534,6,03/09/2020 00:05,Kauffman Stadium,Kansas City Royals,Cleveland Indians,0 - 5
535,6,03/09/2020 00:10,Minute Maid Park,Houston Astros,Texas Rangers,2 - 1
536,6,03/09/2020 00:10,Target Field,Minnesota Twins,Chicago White Sox,8 - 1
537,6,03/09/2020 01:40,Dodger Stadium,Los Angeles Dodgers,Arizona Diamondbacks,3 - 2
538,6,03/09/2020 01:40,Angel Stadium,Los Angeles Angels,San Diego Padres,4 - 11
539,7,03/09/2020 17:35,PNC Park,Pittsburgh Pirates,Chicago Cubs,6 - 2
540,7,03/09/2020 18:10,Minute Maid Park,Houston Astros,Texas Rangers,8 - 4
541,7,03/09/2020 20:05,Citizens Bank Park,Philadelphia Phillies,Washington Nationals,6 - 5
542,7,03/09/2020 20:10,Citi Field,New York Mets,New York Yankees,9 - 7
543,7,03/09/2020 23:10,Angel Stadium,Los Angeles Angels,San Diego Padres,2 - 0
544,7,03/09/2020 23:30,Fenway Park,Boston Red Sox,Toronto Blue Jays,2 - 6
545,7,04/09/2020 00:05,Kauffman Stadium,Kansas City Royals,Chicago White Sox,6 - 11
546,7,04/09/2020 01:40,Dodger Stadium,Los Angeles Dodgers,Arizona Diamondbacks,5 - 1
547,7,04/09/2020 03:33,Truist Park,Atlanta Braves,Washington Nationals,9 - 10
548,7,04/09/2020 03:33,Oriole Park at Camden Yards,Baltimore Orioles,New York Yankees,6 - 3
549,7,04/09/2020 07:33,Target Field,Detroit Tigers,Minnesota Twins,2 - 3
550,7,04/09/2020 07:33,PNC Park,Cincinnati Reds,Pittsburgh Pirates,3 - 4
551,7,04/09/2020 07:33,Fenway Park,Toronto Blue Jays,Boston Red Sox,2 - 3
552,7,04/09/2020 18:10,Target Field,Minnesota Twins,Detroit Tigers,2 - 0
553,7,04/09/2020 20:05,PNC Park,Pittsburgh Pirates,Cincinnati Reds,2 - 4
554,7,04/09/2020 20:10,Fenway Park,Boston Red Sox,Toronto Blue Jays,7 - 8
555,7,04/09/2020 20:10,Truist Park,Atlanta Braves,Washington Nationals,7 - 1
556,7,04/09/2020 21:05,Oriole Park at Camden Yards,Baltimore Orioles,New York Yankees,5 - 6
557,7,04/09/2020 22:40,Tropicana Field,Tampa Bay Rays,Miami Marlins,5 - 4
558,7,04/09/2020 23:10,Citi Field,New York Mets,Philadelphia Phillies,3 - 5
559,7,04/09/2020 23:10,Progressive Field,Cleveland Indians,Milwaukee Brewers,1 - 7
560,7,05/09/2020 00:05,Kauffman Stadium,Kansas City Royals,Chicago White Sox,4 - 7
561,7,05/09/2020 00:15,Wrigley Field,Chicago Cubs,St. Louis Cardinals,4 - 1
562,7,05/09/2020 01:10,Angel Stadium,Los Angeles Angels,Houston Astros,6 - 5
563,7,05/09/2020 01:10,T-Mobile Park,Seattle Mariners,Texas Rangers,6 - 3
564,7,05/09/2020 01:40,Dodger Stadium,Los Angeles Dodgers,Colorado Rockies,10 - 6
565,7,05/09/2020 01:40,Oakland Coliseum,Oakland Athletics,San Diego Padres,0 - 7
566,7,05/09/2020 01:45,Oracle Park,San Francisco Giants,Arizona Diamondbacks,5 - 6
567,7,05/09/2020 07:33,Wrigley Field,St. Louis Cardinals,Chicago Cubs,5 - 1
568,7,05/09/2020 07:33,Angel Stadium,Houston Astros,Los Angeles Angels,6 - 7
569,7,05/09/2020 20:07,Oakland Coliseum,Oakland Athletics,San Diego Padres,8 - 4
570,7,05/09/2020 21:15,Wrigley Field,Chicago Cubs,St. Louis Cardinals,2 - 4
571,7,05/09/2020 22:40,Tropicana Field,Tampa Bay Rays,Miami Marlins,3 - 7
572,7,05/09/2020 23:05,PNC Park,Pittsburgh Pirates,Cincinnati Reds,2 - 6
573,7,05/09/2020 23:05,Kauffman Stadium,Kansas City Royals,Chicago White Sox,3 - 5
574,7,05/09/2020 23:07,Angel Stadium,Los Angeles Angels,Houston Astros,10 - 9
575,7,05/09/2020 23:10,Target Field,Minnesota Twins,Detroit Tigers,4 - 3
576,7,05/09/2020 23:10,Citi Field,New York Mets,Philadelphia Phillies,5 - 1
577,7,05/09/2020 23:10,Truist Park,Atlanta Braves,Washington Nationals,4 - 10
578,7,05/09/2020 23:10,Progressive Field,Cleveland Indians,Milwaukee Brewers,4 - 3
579,7,05/09/2020 23:30,Fenway Park,Boston Red Sox,Toronto Blue Jays,9 - 8
580,7,05/09/2020 23:35,Oriole Park at Camden Yards,Baltimore Orioles,New York Yankees,6 - 1
581,7,06/09/2020 01:10,Dodger Stadium,Los Angeles Dodgers,Colorado Rockies,2 - 5
582,7,06/09/2020 01:10,T-Mobile Park,Seattle Mariners,Texas Rangers,5 - 3
583,7,06/09/2020 01:15,Oracle Park,San Francisco Giants,Arizona Diamondbacks,4 - 3
584,7,06/09/2020 17:05,Oriole Park at Camden Yards,Baltimore Orioles,New York Yankees,5 - 1
